country,id,name,level
IN,IN-DN,Дадра і Нагар-Хавелі,union territory
IN,IN-DD,Даман і Діу,union territory
IN,IN-DL,Делі,union territory
IN,IN-GA,Гоа,state
IN,IN-GJ,Гуджарат,state
IN,IN-HP,Хімачал-Прадеш,state
IN,IN-JK,Джамму й Кашмір,state
IN,IN-JH,Джхаркханд,state
IN,IN-KA,Карнатака,state
IN,IN-KL,Керала,state
IN,IN-LD,Лакшадвіп,union territory
IN,IN-MH,Махараштра,state
IN,IN-MN,Маніпур,state
IN,IN-ML,Меґхалая,state
IN,IN-MZ,Мізорам,state
IN,IN-NL,Нагаленд,state
IN,IN-OR,Орісса,state
IN,IN-PY,Пудучеррі,union territory
IN,IN-PB,Пенджаб,state
IN,IN-RJ,Раджастхан,state
IN,IN-SK,Сіккім,state
IN,IN-TN,Тамілнаду,state
IN,IN-TR,Тріпура,state
IN,IN-UP,Уттар-Прадеш,state
IN,IN-UT,Уттаракханд,state
IN,IN-WB,Західний Бенгал,state
IE,IE-OY,Оффалі,county
IE,IE-WH,Західний Міт,county
IE,IE-D,Дублін,county
IE,IE-G,Ґолвей,county
IE,IE-L,Ленстер,province
IE,IE-LK,Лімерик,county
IE,IE-M,Манстер,province
IE,IE-SO,Слайго,county
IE,IE-U,Ольстер,province
IE,IE-WD,Вотерфорд,county
IL,IL-M,Центральний район,district
IL,IL-HA,Хайфа,district
IL,IL-JM,Єрусалим,district
IL,IL-D,Район Мінамі,district
IL,IL-TA,Тель-Авів,district
IL,IL-Z,Район Кіта,district
IT,IT-65,Абруццо,region
IT,IT-AG,Агрідженто,province
IT,IT-AL,Алессандрія,province
IT,IT-AN,Анкона,province
IT,IT-AO,Аоста,province
IT,IT-AR,Ареццо,province
IT,IT-AP,Асколі-Пічено,province
IT,IT-AT,Асті,province
IT,IT-AV,Авелліно,province
IT,IT-BA,Барі,province
IT,IT-77,Базиліката,region
IT,IT-BL,Беллуно,province
IT,IT-BN,Беневенто,province
IT,IT-BG,Бергамо,province
IT,IT-BO,Болонья,province
IT,IT-BZ,Больцано,province
IT,IT-BS,Брешія,province
IT,IT-BR,Бріндізі,province
IT,IT-CA,Кальярі,province
IT,IT-78,Калабрія,region
IT,IT-CL,Кальтаніссетта,province
IT,IT-72,Кампанія,region
IT,IT-CB,Кампобассо,province
IT,IT-CE,Казерта,province
IT,IT-CT,Катанія,province
IT,IT-CZ,Катандзаро,province
IT,IT-CO,Комо,province
IT,IT-CS,Козенца,province
IT,IT-CR,Кремона,province
IT,IT-KR,Кротоне,province
IT,IT-CN,Кунео,province
IT,IT-45,Емілія-Романья,region
IT,IT-EN,Енна,province
IT,IT-FM,Фермо,province
IT,IT-FE,Феррара,province
IT,IT-FI,Флоренція,province
IT,IT-FG,Фоджа,province
IT,IT-FO,Форлі,
IT,IT-36,Фріулі-Венеція-Джулія,region
IT,IT-FR,Фрозіноне,province
IT,IT-GE,Генуя,province
IT,IT-GO,Горіція,province
IT,IT-GR,Гроссето,province
IT,IT-IM,Імперія,province
IT,IT-IS,Ізернія,province
IT,IT-BT,Провінція Барлетта-Андрія-Трані,province
IT,IT-CI,Провінція Карбонія-Іглезіас,province
IT,IT-FC,Провінція Форлі-Чезена,province
IT,IT-75,Апулія,region
IT,IT-SP,Ла-Спеція,province
IT,IT-62,Лаціо,region
IT,IT-LE,Лечче,province
IT,IT-LC,Лекко,province
IT,IT-42,Лігурія,region
IT,IT-LI,Ліворно,province
IT,IT-LO,Лоді,province
IT,IT-25,Ломбардія,region
IT,IT-LU,Лукка,province
IT,IT-MC,Мачерата,province
IT,IT-MN,Мантуя,province
IT,IT-57,Марке,region
IT,IT-MT,Матера,province
IT,IT-ME,Мессіна,province
IT,IT-MI,Мілан,province
IT,IT-MO,Модена,province
IT,IT-67,Молізе,region
IT,IT-NA,Неаполь,province
IT,IT-NO,Новара,province
IT,IT-NU,Нуоро,province
IT,IT-OR,Ористано,province
IT,IT-PD,Падуя,province
IT,IT-PA,Палермо,province
IT,IT-PR,Парма,province
IT,IT-PV,Павія,province
IT,IT-PG,Перуджа,province
IT,IT-PE,Пескара,province
IT,IT-PI,Піза,province
IT,IT-PT,Пістоя,province
IT,IT-PN,Порденоне,province
IT,IT-PZ,Потенца,province
IT,IT-PO,Прато,province
IT,IT-MS,Провінція Масса-Каррара,province
IT,IT-MA,Провінція Медіо-Кампідано,province
IT,IT-MB,Провінція Монца і Бріанца,province
IT,IT-OG,Провінція Ольястра,province
IT,IT-OL,Провінція Ольбія-Темпіо,province
IT,IT-PU,Провінція Пезаро і Урбіно,province
IT,IT-RG,Рагуза,province
IT,IT-RA,Равенна,province
IT,IT-RC,Реджо-Калабрія,province
IT,IT-RE,Реджо-нель-Емілія,province
IT,IT-VB,Провінція Вербано-Кузіо-Оссола,province
IT,IT-RI,Рієті,province
IT,IT-RN,Ріміні,province
IT,IT-RM,Рома,province
IT,IT-RO,Ровіго,province
IT,IT-SA,Салерно,province
IT,IT-88,Сардинія,region
IT,IT-SS,Сассарі,province
IT,IT-SV,Савона,province
IT,IT-82,Сицилія,region
IT,IT-SI,Сієна,province
IT,IT-SO,Сондріо,province
IT,IT-TA,Таранто,province
IT,IT-TE,Терамо,province
IT,IT-TR,Терні,province
IT,IT-TP,Трапані,province
IT,IT-32,Трентіно-Альто-Адідже,region
IT,IT-TN,Тренто,province
IT,IT-TV,Тревізо,province
IT,IT-TS,Трієст,province
IT,IT-TO,Турин,province
IT,IT-52,Тоскана,region
IT,IT-UD,Удіне,province
IT,IT-55,Умбрія,region
IT,IT-VA,Варезе,province
IT,IT-34,Венето,region
IT,IT-VE,Венеція,province
IT,IT-VC,Верчеллі,province
IT,IT-VR,Верона,province
IT,IT-VV,Вібо-Валентія,province
IT,IT-VI,Віченца,province
IT,IT-VT,Вітербо,province
LU,LU-D,Дікірх,district
LU,LU-G,Гревенмахер,district
LU,LU-L,Люксембург,district
NL,NL-AW,Аруба,country
NL,NL-BQ1,Бонайре,special municipality
NL,NL-CW,Кюрасао,country
NL,NL-DR,Дренте,province
NL,NL-FL,Флеволанд,province
NL,NL-FR,Фрисландія,province
NL,NL-GE,Гелдерланд,province
NL,NL-GR,Гронінген,province
NL,NL-LI,Лімбург,province
NL,NL-NB,Північний Брабант,province
NL,NL-NH,Північна Голландія,province
NL,NL-OV,Оверейсел,province
NL,NL-BQ2,Саба,special municipality
NL,NL-BQ3,Сінт-Естатіус,special municipality
NL,NL-SX,Сінт-Мартен,country
NL,NL-ZH,Південна Голландія,province
NL,NL-UT,Утрехт,province
NL,NL-ZE,Зеландія,province
NO,NO-02,Акерсгус,county
NO,NO-09,Еуст-Аґдер,county
NO,NO-06,Бускерюд,county
NO,NO-20,Фіннмарк,county
NO,NO-04,Гедмарк,county
NO,NO-12,Гордалан,county
NO,NO-22,Ян-Маєн,
NO,NO-15,Мере-ог-Ромсдал,county
NO,NO-17,Нур-Тренделаг,county
NO,NO-18,Нурлан,county
NO,NO-05,Опплан,county
NO,NO-03,Осло,county
NO,NO-11,Руґалан,county
NO,NO-21,Шпіцберген,
NO,NO-16,Сер-Тренделаг,county
NO,NO-08,Телемарк,county
NO,NO-19,Трумс,county
NO,NO-10,Вест-Аґдер,county
NO,NO-07,Вестфол,county
NO,NO-01,Естфол,county
PL,PL-WP,Великопольське воєводство,voivodship
PL,PL-KP,Куявсько-Поморське воєводство,voivodship
PL,PL-MA,Малопольське воєводство,voivodship
PL,PL-DS,Нижньосілезьке воєводство,voivodship
PL,PL-LU,Люблінське воєводство,voivodship
